                                                                                                                                                                                                                                                                                         article_titre  revue_annee
                                                                                                                                                                                                              Contribution à la géographie médicale. Notes sur le paludisme observé à Dakar (Sénégal).         1898
                                                                                                                                                                                     Notes sur la mortalité des troupes d'infanterie et d'artillerie de marine casernées en Cochinchine (1890 à 1896).         1898
                                                                                                                                                                                                                                                 Sur le mécanisme de l'immunisation contre les venins.         1898
                                                                                                                                                                                                                                                    Note succinte sur l’état sanitaire de nos colonies         1898
                                                                                                                    Clinique d'Outre-Mer. Contribution à l'étude de la toxicologie. Troubles que peut provoquer l'iodure de potassium. Observation faite à l'hôpital colonial de My-Tho (Cochinchine).         1898
                                                                                                                                                                          Clinique d'Outre-Mer. Rapport sur les conditions dans lesquelles se trouvent actuellement les lépreux en Nouvelle-Calédonie.         1898
                                                                                                                                                                                                                      Variétés. Médecins annamites. Organisation du service médical indigène en Annam.         1898
                                                                                                                                                                                                                               Contribution à la géographie médicale. Missions de vaccine au Cambodge.         1898
                                                                                                                                                                                    Considérations générales sur la morbidité et la mortalité de l'année 1897. Aperçu démographique de la Martinique.          1898
                                                                                                                                                 Cas de disproportion physiologique considérable du corps d'un foetus avec celui de sa mère. Naine de race hindoue mesurant seulement 1m,10 de taille.         1898
                                                                                                                                                                                                         Variétés. De quelques coutumes des indigènes des Samoa et de Wallis qui tendent à disparaître         1898
                                                                                                                                                                                                                                             Contribution à la géographie médicale. Mission du Baoulé.         1898
                                                                                                                                                                        Rapport sur les cas de pestes traités dans l'Inde anglaise au moyen du sérum antipesteux préparé à l'Institut Pasteur de Paris         1898
                                                                                                                                                                                                                  Morbidité et mortalité du personnel militaire de la Guadeloupe pendant l'année 1897.         1898
                                                                                                                                                                                                                                                     Observations médicales faites sous les tropiques.         1898
                                                                                                                                                                                                                                                      Notes d'Histoire naturelle sur le Fouta-Djallon.         1898
                                                                                                                                                                                                                                             Agglutination et séro-diagnostic dans la fièvre typhoïde.         1898
                                                                                                                                                                                                                      Rapport sur l'épidémie de fièvre jaune qui a régné au Soudan français en 1897(1)         1898
                                                                                                                                                                                                                                                                 Note sur les ophidiens de Madagascar.         1898
                                                                                                                                                                                                      Note sur un nouvel testament "aiguille-hépatotomie" pour l'ouverture des abcès profonds du foie.         1898
                                                                                                                                                                                                   Morbidité et mortalité à Madagascar pendant l'année 1897. Statistique médicale. Extrait du rapport.         1898
                                                                                                                                                                     Sur le mode de formation de l'indigo dans les procédés d'extraction industrielle. Fonctions diastasiques des plantes indigofères.         1898
                                                                                                                                                                                                                                                                 Sur l'extension de la peste à bubons.         1898
                                                                                                                                                                                                                                                  Notes d'hygiène et de médecine sur l'État du Congo.          1898
                                                                                                                                                                                       Rôle du pneumocoque dans la pathologie des indigènes du Sénégal et dans la pathogénie de la maladie du sommeil.         1899
                                                                                                                                                                                                         Brancard-palanquin Franck-Fontaine pour le transport des malades et des blessés aux colonies.         1899
                                                                                                                                                                                                                                  Morbidité et mortalité. À la Guyane française pendant l'année 1897.          1899
                                                                                                                                                                                                            Analyse bactériologique et chimique de l'eau d'alimentation de la ville de Hanoi (Tonkin).         1899
                                                                                                                                                                                                                                                                           La propagation de la peste.         1899
                                                                                                                                                                                                     Rapport sur les opérations de vaccination pratiquées dans l'Ogooué (Congo français) en 1896-1897.         1899
                                                                                                                                                Épidémie d'ophtalmie purulente observée dans les établissements français de l'Inde, attribuée à un petit diptère du groupe des simulies ou moucherons.         1899
                                                                                                                                                                                                                                                                                   La peste à Tamatave         1899
                                                                                                                                                                                                                                                Kérato-conjonctivite produite par un serpent cracheur.         1899
                                                                                                                                                                                                               Clinique d'Outre-Mer. Abcès du foie traités à l'hôpital de Saigon pendant l'année 1897.         1899
                                                                                                                                                                                                                                                 Variétés. Quatre mois de séjour dans le Haut-Dahomey.         1899
                                                                                                                                                                                                                              Contribution à la géographie médicale des îles Saint-Pierre et Miquelon.         1899
                                                                                                                                                                                        Résultats d'expériences faites à l'Institut Pasteur de Nha-Trang (Annam) sur le traitement de la peste bovine.         1899
                                                                                                                                                                                                                Morbidité et mortalité en Annam-Tonkin pendant l'année 1897. Extrait du rapport annuel         1899
                                                                                                                                                                                                                                                     Notes sur la fabrication du rhum à la Guadeloupe.         1899
                                                                                                                                                                               Contribution à la géographie médicale. Observation d'un cas de fièvre bilieuse hémoglobinurique aux Nouvelles-Hébrides.         1899
                                                                                                                                                                                                                            Des maladies provoquées ou simulées chez les condamnés aux travaux forcés.         1899
                                                                                  Rapport sur un travail de M. le Docteur Ronald Ross, intitulé : "Note pour l'histoire du parasite du paludisme en dehors de l'organisme humain", présenté à l'académie de médecine dans la séance du 31 janvier 1899         1899
                                                                                                                                                                          Rapport médical sommaire sur l'épidémie de peste bubonique observée à Mongtzé (Chine) pendant les mois de juillet-août 1898.         1899
                                                                                                                                                                         Rapport médical sommaire sur l'épidémie de peste bubonique observée à Mongtzé (Chine) pendant les mois de juillet-août 1898.          1899
                                                                                                                                                                                                                                                          Clinique d'Outre-Mer. Rupture du diaphragme.         1899
                                                                                                                                                                                                                                Clinique d'Outre-Mer.Sur un cas d'arrêt de développement (exomphalie).         1899
                                                                                                                                                                                                                       Mesures prises à Tamatave. Pour localiser l'épidémie de peste et pour l'enrayer         1899
                                                                                                                                                            Relation d'une recrudescence endémo-épidémique de fièvre jaune observée à la Martinique dans le cours des années 1895. 1896. 1897 et 1898.         1899
                                                                                                                                                                                                                     Morbidité et mortalité au Congo français pendant l'année 1897. Extrait du rapport         1899
                                                                                                                                                                                                                                                                 Notes médicales sur le Haut-Oubangui.         1899
                                                                                                                                                                                                                                                   Sanatoria et camps de dissémination de nos colonies         1899
                                                                                                                                                                                                                                          Sur la constitution chimique des ferments solubles oxydants.         1899
                                                                                                                                                                                                                                               L'épidémie de peste à Nha-Trang de juin à octobre 1898.         1899
                                                                                                                                                                                       Peste bubonique observée à Ping-Shiang (province de Kouang-Si (Chine), avril-mai-juin 1898). Extrait du rapport         1899
                                                                                                                                                                                                                                                    Rapport sur la sérothérapie de la peste bubonique.         1899
                                                                                                                                                                                                                                        Note sur une araignée de Madagascar (Mena-vody des indigènes).         1899
                                                                                                                                                                                                                                Diagnostic bactériologique de la fièvre typhoïde dans les pays chauds.         1899
                                                                                                                                                                                                                                Morsures de serpents traitées par le sérum antivenimeux du Dr Calmette         1899
                                                                                                                                                                                    Clinique d'Outre-Mer. Trois cas de calculs vésicaux chez des enfants malgaches opérés par la taille hypogastrique.         1899
                                                                                                                                                                                                                                                      Instructions pour l'emploi du sérum antivénimeux         1899
                                                                                                                                                                               Instructions pour la récolte du venin des serpents destiné à vacciner les animaux qui fournissent le sérum antivenimeux         1899
                                                                                                                                                                                       Fonctionnement de l'Institut Pasteur de Saïgon et des services vaccinaux de l'Indo-Chine, pendant l'année 1898.         1899
                                                                                                                                                                                                                                    Notes d'ethnologie et de médecine sur les Sakalaves du Nord-Ouest.         1899
                                                                                                                                                                                Instructions adressées à nos colonies de la côte occidentale d'Afrique, au sujet des mesures à prendre en cas de peste         1899
                                                                                                                                                                                       Note sur l'immunité vaccinale due à la variole et les causes fréquentes d'insuccès de la vaccination au Tonkin.         1899
                                                                                                                                                                                                                                                 Rapport sur la lymphangite infectieuse de la Réunion.         1899
                                                                                                                                                                                                               Hygiène professionnelle. Accidents provoqués par la manipulation de la laque au Tonkin.         1899
                                                                                                                                                                                                                                                                  Hygiène professionnelle. Vanillisme.         1899
                                                                                                                                                                                                       Variole et vaccination à la Côte d'Ivoire. juillet à décembre 1897. année 1898 et janvier 1899.         1899
                                                                                                                                                                                                                                                                            Quelques mots sur le lait.         1899
                                                                                                                                                                                                                                        Deux cas de Sphacèle étendu observés sur des noirs du Sénégal.         1899
                                                                                                                                                                                                                                                               Note sur l'huile de Camellia Drupifera.         1899
                                                                                                                                                                                                                                                            Variétés. Médecins et médecine au Bengale.         1899
                                                                                                                                                                      Clinique d'Outre-Mer. Expulsion d'un foetus mort et momifié, à la suite de l'accouchement d'un enfant vivant et presque à terme.         1899
                                                                                                                                                             Contribution à la géographie médicale. Notes médicales sur l'expédition du Fouta-Djallon et sur le poste de Timbo (mars à décembre 1896).         1900
                                                                                                                                                                                                                                                 Notes sur la pharmacopée des Sakalaves du Nord-Ouest.         1900
                                                                                                                   Note sur l'emploi de l'Ahouandémé (Cassia Occidentalis L.), et des injections hypodermiques massives de sérum artificiel dans le traitement de la fièvre bilieuse hémoglobinurique.         1900
                                                                                                                                                                                                                                                       Notes sur des abcès du foie observés au Tonkin.         1900
                                                                                                                                                                                                       Du fond de l'oeil normal dans la race noire et de l'examen à l'ophtalmoscope (image renversée).         1900
                                                                                                                                                                                    Fonctionnement du laboratoire de microbiologie de Saint-Louis (Sénégal) et note sur la dysenterie des pays chauds.         1900
                                                                                                                                                                                                                  Clinique d'Outre-Mer. Note sur un cas de calculs multiples de l'urètre chez l'homme.         1900
                                                                                                                                                                                                                                           Éléphantasis du scrotum pesant 80 kilos. Extrait du rapport         1900
                                                                                                                                                                                                                           Instructions sommaires pour aider à la récolte des produits de nos colonies         1900
                                                                                                                                                                                                                                                    Géographie médicale. Notes sur le Yun-Nan (Chine).         1900
                                                                                                                                                                                           Géographie médicale. Notes médicales recueillies à Tchen-Tou, capitale de la province du Setchouen (Chine).         1900
                                                                                                                                                                                                                                           Épidémie de béribéri observée à Poulo-Condore en 1897-1898.         1900
                                                                                                                                                                                                        Poussée épidémique de paludisme observée en Annam. Extrait du rapport du mois de décembre 1898         1900
                                                                                                                                                                                                                                                     Apercu sur les conditions hygiéniques de Tamatave         1900
                                                                                                                                                                                                                          Nouvelles recherches sur les fonctions diastasiques des plantes indigofères.         1900
                                                                                                                                                                                            Notes sur la valeur alimentaire et industrielle des plantes comestibles féculentes cultivées aux Antilles.         1900
                                                                                                                                                                                                                                          Sur le dosage de la silice et du fer dans les eaux potables.         1900
                                                                                                                                                                                                                                                                                    La peste de Porto.         1900
                                                                                                                                                                                                                                                                         De la toxicité des physalies.         1900
                                                                                                                                                                                                                        Observations d'hépatite suppurée recueillies à Kati (Soudan français) en 1898.         1900
                                                                                                                                                                                                                                         Circoncision rituelle de la femme dans l'Afrique occidentale.         1900
                                                                                                                                                        Étude d'une labiée à racine tuberculeuse servant à l'alimentation des indigènes du Soudan et pouvant remplacer la pomme de terre aux colonies.         1900
                                                                                                                                                                                                                                                        Variétés. Préjugés des Hindous sur la variole.         1900
                                                                                                                                                                                                           Précautions hygiéniques à prendre pour les expéditions et les explorations aux pays chauds.         1900
                                                                                                                                                   Note complémentaire sur l'emploi de la sérothérapie artificielle dans le traitement de la fièvre bilieuse hémoglobinurique. — Relevés statistiques.         1900
                                                                                                                                                                                                                                                                          Situation sanitaire du Japon         1900
                                                                                                                                                                                                     Les Colonnes contre Samory dans la région sud du Soudan français (septembre 1897 à octobre 1898).         1900
                                                                                                                                                                                                                                                                         Notes médicales sur la Chine.         1900
                                                                                                                                                                                                                                            Fonctionnement de l'Institut Pasteur de Nha-Trang (Annam).         1900
                                                                                                                                                                                                                                          Réunion. Hôpitaux coloniaux. Morbidité et mortalité en 1899.         1900
                                                                                                                                                                       Mesures prises à Tamatave et à Antsirane (Madagascar), contre la peste qui a régné dans ces deux localités pendant l'année 1899         1900
                                                                                                                                                                                                    Maladies épidémiques qui ont régné à la Côte d'Ivoire au cours de l'année 1899. Extrait du rapport         1900
