                                                                                                                                                                                                                                                                                                                                                                                                                  article_titre  revue_annee
                                                                                                                                                                                                                                                                                                                        Rapport médical d'ensemble sur les colonnes du Yen-Thé (Novembre et décembre 1895), par le Dr Fruitet,          1898
                                                                                                                                                                                                                                                                                                                                                                           Poste militaire de Nioro (Soudan), par le Dr Suard,          1898
                                                                                                                                                                                                                                                                                                                                              Note sur l'azote nitrique de quelques eau de la ville de Brest, par P. Le Naour,          1898
                                                                                                                                                                                                                                                                                                   Variétés. Secours médicaux aux pêcheurs (Campagne de 1897). [Dr Bonnafy.]. / Statistique de la marine Néerlandaise pour 1895         1898
                                                                                                                                                                                                                                                                                                                                                                            Notes sur les pêcheurs d'Islande, par le Dr Sisco,          1898
                                                                                                                                                                                                                                                                                                                                                      Contribution au traitement des bubons et des cystites, par le Dr Touren,          1898
                                                                                                                                                                                                                                                                                                                                                        Contribution au traitement des bubons et des cystites, par le Dr Touren         1898
                                                                                                                                                                                                                                                                                                                                              Un cas d'éléphantiasis du scrotum, ablation, mort par tétanos, par le Dr Robert,          1898
                                                                                                                                                                                                                                                                                                                                             Variétés. / Les pertes d'hommes pendant la campagne de pêche à Terre-Neuve en 1897         1898
                                                                                                                                                                                                                                                                                           Variétés. Les pertes d'hommes pendant la campagne de pêche à Terre-Neuve en 1897. / Rapport médical de la mission lyonnaise en Chine         1898
                                                                                                                                                                                                                                                                                                                                                        L'hygiène et le service médical à bord de la surprise, par le Dr Titi,          1898
                                                                                                                                                                                                                                                                                                                               Le gonocoque. Leçon faite par M. V. Morax à l'institut pasteur, recueillie. Par le Dr Chastang,          1898
                                                                                                                                                                                                                                                                                                          Note additionnelle sur la nature des blessures dans les batailles navales contemporaines, par le Dr J.-A. Portengen,          1898
                                                                                                                                                                                                                                                                                                                                     Recherches expérimentales sur l'empoisonnement par la fausse oronge, par le Dr Le Dantec,          1898
                                                                                                                                                                                                                                                                                                                                                                Une campagne de vaccine au Sénégal (1896), par le Dr Porquier,          1898
                                                                                                                                                                                                                                                                                                                                                                                  Clinique otologique, par le Dr de Champeaux,          1898
