	article_id	article_auteur	article_titre	revue_annee	revue_numero	article_page
0	AHMC-01-9	Clarac	Contribution à la géographie médicale. Notes sur le paludisme observé à Dakar (Sénégal).	1898	1	9
1	AHMC-01-114	Fontaine	Notes sur la mortalité des troupes d'infanterie et d'artillerie de marine casernées en Cochinchine (1890 à 1896).	1898	1	114
2	AHMC-01-129	Calmette	Sur le mécanisme de l'immunisation contre les venins.	1898	1	129
3	AHMC-01-135	Kermorgant. A	Note succinte sur l’état sanitaire de nos colonies	1898	1	135
4	AHMC-01-143	J-C Baurac	Clinique d'Outre-Mer. Contribution à l'étude de la toxicologie. Troubles que peut provoquer l'iodure de potassium. Observation faite à l'hôpital colonial de My-Tho (Cochinchine).	1898	1	143
5	AHMC-01-149	Pierre (Louis-Édouard)	Clinique d'Outre-Mer. Rapport sur les conditions dans lesquelles se trouvent actuellement les lépreux en Nouvelle-Calédonie.	1898	1	149
6	AHMC-01-156	Henry	Variétés. Médecins annamites. Organisation du service médical indigène en Annam.	1898	1	156
7	AHMC-01-169	J. Nogué ;Lombard ;Devoti ; Mondon ; Depasse ; Pinard ; Grognier ; Angier; Conan ; Ortholan	Contribution à la géographie médicale. Missions de vaccine au Cambodge.	1898	1	169
8	AHMC-01-234	Gries	Considérations générales sur la morbidité et la mortalité de l'année 1897. Aperçu démographique de la Martinique. 	1898	1	234
9	AHMC-01-259	Blin	Cas de disproportion physiologique considérable du corps d'un foetus avec celui de sa mère. Naine de race hindoue mesurant seulement 1m,10 de taille.	1898	1	259
10	AHMC-01-293	A. Kermorgant	Variétés. De quelques coutumes des indigènes des Samoa et de Wallis qui tendent à disparaître	1898	1	293
11	AHMC-01-305	Lasnet	Contribution à la géographie médicale. Mission du Baoulé.	1898	1	305
12	AHMC-01-349	Simond,Roux	Rapport sur les cas de pestes traités dans l'Inde anglaise au moyen du sérum antipesteux préparé à l'Institut Pasteur de Paris	1898	1	349
13	AHMC-01-361	Drevon	Morbidité et mortalité du personnel militaire de la Guadeloupe pendant l'année 1897.	1898	1	361
14	AHMC-01-368	Koch	Observations médicales faites sous les tropiques.	1898	1	368
15	AHMC-01-396	Miquel	Notes d'Histoire naturelle sur le Fouta-Djallon.	1898	1	396
16	AHMC-01-425	Thiroux	Agglutination et séro-diagnostic dans la fièvre typhoïde.	1898	1	425
17	AHMC-01-433	Auvray,Boury	Rapport sur l'épidémie de fièvre jaune qui a régné au Soudan français en 1897(1)	1898	1	433
18	AHMC-01-465	Ed	Note sur les ophidiens de Madagascar.	1898	1	465
19	AHMC-01-467	Gries	"Note sur un nouvel testament ""aiguille-hépatotomie"" pour l'ouverture des abcès profonds du foie."	1898	1	467
20	AHMC-01-470	Lidin	Morbidité et mortalité à Madagascar pendant l'année 1897. Statistique médicale. Extrait du rapport.	1898	1	470
21	AHMC-01-525	L.  Bréaudat	Sur le mode de formation de l'indigo dans les procédés d'extraction industrielle. Fonctions diastasiques des plantes indigofères.	1898	1	525
22	AHMC-01-562	Robert Koch	Sur l'extension de la peste à bubons.	1898	1	562
23	AHMC-01-566	C. Mense	Notes d'hygiène et de médecine sur l'État du Congo. 	1898	1	566
24	AHMC-02-5	Marchoux.	Rôle du pneumocoque dans la pathologie des indigènes du Sénégal et dans la pathogénie de la maladie du sommeil.	1899	2	5
25	AHMC-02-26	Clavel	Brancard-palanquin Franck-Fontaine pour le transport des malades et des blessés aux colonies.	1899	2	26
26	AHMC-02-47	Le Jollec	Morbidité et mortalité. À la Guyane française pendant l'année 1897. 	1899	2	47
27	AHMC-02-65	Bréaudat;Turié	Analyse bactériologique et chimique de l'eau d'alimentation de la ville de Hanoi (Tonkin).	1899	2	65
28	AHMC-02-80	P.-L  Simond	La propagation de la peste.	1899	2	80
29	AHMC-02-98	Lecomte	Rapport sur les opérations de vaccination pratiquées dans l'Ogooué (Congo français) en 1896-1897.	1899	2	98
30	AHMC-02-103	Blin	Épidémie d'ophtalmie purulente observée dans les établissements français de l'Inde, attribuée à un petit diptère du groupe des simulies ou moucherons.	1899	2	103
31	AHMC-02-108		La peste à Tamatave	1899	2	108
32	AHMC-02-109	Pinard	Kérato-conjonctivite produite par un serpent cracheur.	1899	2	109
33	AHMC-02-110	Le Corre	Clinique d'Outre-Mer. Abcès du foie traités à l'hôpital de Saigon pendant l'année 1897.	1899	2	110
34	AHMC-02-121	L.Mul	Variétés. Quatre mois de séjour dans le Haut-Dahomey.	1899	2	121
35	AHMC-02-145	J.Camail	Contribution à la géographie médicale des îles Saint-Pierre et Miquelon.	1899	2	145
36	AHMC-02-175	Carré ;Fraimbault ; Yersin	Résultats d'expériences faites à l'Institut Pasteur de Nha-Trang (Annam) sur le traitement de la peste bovine.	1899	2	175
37	AHMC-02-182	Sérez 	Morbidité et mortalité en Annam-Tonkin pendant l'année 1897. Extrait du rapport annuel	1899	2	182
38	AHMC-02-214	M. A  Pairault	Notes sur la fabrication du rhum à la Guadeloupe.	1899	2	214
39	AHMC-02-227	Morel	Contribution à la géographie médicale. Observation d'un cas de fièvre bilieuse hémoglobinurique aux Nouvelles-Hébrides.	1899	2	227
40	AHMC-02-231	Escande De Messières	Des maladies provoquées ou simulées chez les condamnés aux travaux forcés.	1899	2	231
41	AHMC-02-241	Laveran 	"Rapport sur un travail de M. le Docteur Ronald Ross, intitulé : ""Note pour l'histoire du parasite du paludisme en dehors de l'organisme humain"", présenté à l'académie de médecine dans la séance du 31 janvier 1899"	1899	2	241
42	AHMC-02-250	Delay ;L. Mul 	Rapport médical sommaire sur l'épidémie de peste bubonique observée à Mongtzé (Chine) pendant les mois de juillet-août 1898.	1899	2	250
43	AHMC-02-258		Rapport médical sommaire sur l'épidémie de peste bubonique observée à Mongtzé (Chine) pendant les mois de juillet-août 1898. 	1899	2	258
44	AHMC-02-266	Paul Guérin	Clinique d'Outre-Mer. Rupture du diaphragme.	1899	2	266
45	AHMC-02-271	Perrot ;Bouyssou	Clinique d'Outre-Mer.Sur un cas d'arrêt de développement (exomphalie).	1899	2	271
46	AHMC-02-273		Mesures prises à Tamatave. Pour localiser l'épidémie de peste et pour l'enrayer	1899	2	273
