	Unnamed: 0	cote	article_id	article_titre	revue_annee	page	article_description	article_section
0	13384	90156x1898x69	AMN-1898-5	Rapport médical d'ensemble sur les colonnes du Yen-Thé (Novembre et décembre 1895), par le Dr Fruitet, 	1898	5	 Titre premier. Journaux de marche des ambulances de première ligne des trois colonnes. Première colonne	article
1	13395	90156x1898x69	AMN-1898-29	Poste militaire de Nioro (Soudan), par le Dr Suard, 	1898	29	 Date de l'occupation du poste et circonstances principales de son histoire exprimées sommairement. / Épidémies qui y ont régné	article
2	13421	90156x1898x69	AMN-1898-65	Note sur l'azote nitrique de quelques eau de la ville de Brest, par P. Le Naour, 	1898	65	 / Variétés. / Secours médicaux aux pêcheurs (Campagne de 1897)	article
3	13422	90156x1898x69	AMN-1898-69	Variétés. Secours médicaux aux pêcheurs (Campagne de 1897). [Dr Bonnafy.]. / Statistique de la marine Néerlandaise pour 1895	1898	69		article
4	13428	90156x1898x69	AMN-1898-81	Notes sur les pêcheurs d'Islande, par le Dr Sisco, 	1898	81		article
5	13460	90156x1898x69	AMN-1898-134	Contribution au traitement des bubons et des cystites, par le Dr Touren, 	1898	134	 / 1° Bubon suppuré. / A. Avant le septième jour	article
6	13464	90156x1898x69	AMN-1898-139	Contribution au traitement des bubons et des cystites, par le Dr Touren	1898	139	 2° Bubon syphilitique. Rétrécissements. / Un cas d'éléphantiasis du scrotum, ablation, mort par tétanos, par le Dr Robert, ..	article
7	13465	90156x1898x69	AMN-1898-142	Un cas d'éléphantiasis du scrotum, ablation, mort par tétanos, par le Dr Robert, 	1898	142	 / Un cas d'obsession fétichiste de la robe, par le Dr A. Pichon, ..	article
8	13466	90156x1898x69	AMN-1898-149	Variétés. / Les pertes d'hommes pendant la campagne de pêche à Terre-Neuve en 1897	1898	149		article
9	13467	90156x1898x69	AMN-1898-151	Variétés. Les pertes d'hommes pendant la campagne de pêche à Terre-Neuve en 1897. / Rapport médical de la mission lyonnaise en Chine	1898	151		article
10	13474	90156x1898x69	AMN-1898-161	L'hygiène et le service médical à bord de la surprise, par le Dr Titi, 	1898	161		article
11	13490	90156x1898x69	AMN-1898-210	Le gonocoque. Leçon faite par M. V. Morax à l'institut pasteur, recueillie. Par le Dr Chastang, 	1898	210	 / Historique	article
12	13496	90156x1898x69	AMN-1898-235	Note additionnelle sur la nature des blessures dans les batailles navales contemporaines, par le Dr J.-A. Portengen, 	1898	235	 II. / Combat de Yalu	article
13	13499	90156x1898x69	AMN-1898-241	Recherches expérimentales sur l'empoisonnement par la fausse oronge, par le Dr Le Dantec, 	1898	241		article
14	13505	90156x1898x69	AMN-1898-251	Une campagne de vaccine au Sénégal (1896), par le Dr Porquier, 	1898	251		article
15	13515	90156x1898x69	AMN-1898-275	Clinique otologique, par le Dr de Champeaux, 	1898	275	 / I. Maladies de l'oreille. / A. Bouchons cérumineux	article
16	13525	90156x1898x69	AMN-1898-297	Contribution au traitement de la syphilis par les injections intra-musculaires d'huile grise, par le Dr Touren, 	1898	297	 / 1re proposition	article
17	13528	90156x1898x69	AMN-1898-301	Variétés. / Médecins de colonisation de l'Algérie	1898	301		article
18	13535	90156x1898x69	AMN-1898-321	Rapport médical sur les colonness du Dakol et la mission du Mossi (Soudan Français), du 25 février 1896 au 16 avril 1897, par le Dr Henric, 	1898	321	 / Colonnes du Dakol. / Premier combat de Téréli (29 février 1896.)	article
19	13543	90156x1898x69	AMN-1898-340	Mémoire sur les lésions d'origine traumatique et d'origine tuberculeuse qui intéressent le rachis, par le Dr C. Auffret, 	1898	340	 I. / 1re Observation. - Fracture directe des quatrième et cinquième vertèbres cervicales, consécutive à une chute sur le rebord d'un pont ; chute à la mer. Congestion pulmonaire. Mort	article
20	13553	90156x1898x69	AMN-1898-361	Service de santé du 11e régiment d'infanterie de marine stationné en Indo-Chine (1896), par le Dr Vinas, 	1898	361	 Invalidations et mortalité. / Mouvements des malades, leurs causes	article
21	13563	90156x1898x69	AMN-1898-375	Variétés. La mortalité des pêcheurs d'Islande. [Dr L. Chastang.]. / Mesures à prendre pour éviter à Madagascar la contagion par les boutres. Peste bubonique de l'Inde	1898	375		article
22	13564	90156x1898x69	AMN-1898-376	Variétés. Mesures à prendre pour éviter à Madagascar la contagion par les boutres. Peste bubonique de l'Inde. [Dr Duville.]. / Statistique médicale de la marine Allemande, du 1er avril 1893. au 31 mars 1895, par le Dr Globig, 	1898	376	 (Roth's Jahresbericht, 1897.)	Statistique médicale
23	13565	90156x1898x69	AMN-1898-390	Variétés. Statistique médicale de la marine Allemande, du 1er avril 1893. au 31 mars 1895, par le Dr Globig, 	1898	390	 (Roth's Jahresbericht, 1897.). [Dr Onimus.]. / Bibliographie. / Revue des thèses soutenues devant la faculté de médecine de Bordeaux par les élèves de l'école principale du service de santé de la marine. / Dr Brisemur. - Contribution à l'étude du dacryops	Statistique médicale
24	13572	90156x1898x69	AMN-1898-401	Climats en général. Climats chauds en particulier, par le Dr Le Dantec, 	1898	401	 / Astronomes. / Hygiénistes	article
25	13587	90156x1898x69	AMN-1898-427	Études d'hygiène navale, par le Dr Danguy des Desert, 	1898	427	 I. Hygiène des navires. Chauffage à la vapeur. / Postes de couchage. - Leur valeur hygiènique	article
26	13594	90156x1898x69	AMN-1898-464	Quelques conseils d'hygiène pour le voyageur à Madagascar, par le Dr Robert, 	1898	464		article
27	13597	90156x1898x69	AMN-1898-474	Variétés. Un nouveau journal. Archiv für Schiffs und Tropen Hygiene unter besonderer Berücksichtigung der Pathologie und Therapie, publié par le Dr Mense, Cassel, 1897. - Archives d'hygiène tropicale de navale. [Dr C. Mense.]. / Les Rayons roentgen	1898	474		article
